,text,scrape
235,General Secretariat of the Cabinet,1
680,ks2,0
407,Commercial opportunities,0
746,Scheme of Fund for Regeneration of Traditional Industries (SFURTI),0
292,officers (royal marines),1
231,Website of Ministry of Finance,1
375,Cabinet Ministers,1
60,गोवा के वाणिज्यिक कर विभाग की वेबसाइट देखें,1
435,Information on cultural heritage of Pithoragarh district,0
740,Discovery,0
606,May 2018,0
580,डाक,0
51,"Central Detective Training School, Chandigarh",1
49,Corporate and institutional owners,1
394,TV series Who Do You Think You Are FOI request reference: F0047732,0
173,Annuity Service Providers (ASPs) - External website that opens in a new window,1
294,Government of Maharashtra,1
281,Defence & Paramilitary Personnel,1
542,मेघालय के अनुसूचित जनजाति/अनुसूचित जाति के छात्रों के लिए पोस्ट मैट्रिक छात्रवृत्ति के लिए प्रपत्र,0
698,Dr Claire Feehily,0
384,royal naval air service,1
419,UK Government Licensing Framework,0
230,Railway workers,1
224,Rajya Sabha,1
621,Storage,0
541,AIR 2/19086,0
0,royal irish constabulary,1
468,विमान निर्माता कंपनी बोइंग जनवरी में अस्थायी तौर पर 737 मैक्स जेट विमान का उत्पादन बंद करेगी,0
706,"OSP24: Records relating to the machinery of government and the management of the civil service March 1974-2000 (PDF, 0.15MB)",0
345,Royal Air Force personnel,1
250,"Mediation Center, High Court of Punjab and Haryana",1
66,Website of Swadesh Darshan,1
582,RITE e-Governance,0
323,Business,1
649,National Anthem,0
699,National Farm Survey of England and Wales 1941-1943,0
448,DESIDOC Journal of Library & Information Technology,0
734,summary of the public records,0
491,हिमाचल प्रदेश में व्यापार आलेख लाइसेंस के नवीकरण के लिए आवेदन प्रपत्र (प्रपत्र - बी),0
591,This tutorial is a beginners’ guide to the Latin used in documents between 1086 and 1733. It is the first in our series of online tutorials to help you learn the Latin from this period.,0
560,A+,0
415,previous responses,0
463,courts of law,0
317,Ministry of Information & Broadcasting,1
776,पंजाब के दूरसंचार विभाग की टेलीफोन निर्देशिका,0
221,Information Commissioner,1
165,soviet,1
370,Chief executive,1
287,Vice-President of India,1
668,June 2013,0
458,Crimean War records,0
774,Budget,0
611,Sports Infrastructure,0
744,मानकीकरण और कृषि और संबद्ध की ग्रेडिंग का संवर्धन उत्पादन,0
517,Accredited Archive status by Suffolk County Record Office FOI request reference: F0051698,0
296,Prime Minister of India,1
335,Excise and Inland Revenue officers,1
53,उच्चतर शिक्षा विभाग की वेबसाइट देखें,1
504,Facilities management information (request for further details) FOI request reference: F0049511,0
251,Website of Kendriya Sainik Board Secretariat (KSB),1
709,Driving theory test,0
532,Alien arrivals,0
130,Who we are,1
56,Directorate of Handicrafts and Cottage Industries of Odisha,1
777,air raids,0
545,LongLongTrail,0
767,Relevant sections of the Local Government Act 1972,0
39,नारियल विकास बोर्ड की आधिकारिक वेबसाइट,1
